The probability labels are:
[[0.9549517  0.04504828]
 [0.9598465  0.04015352]
 [0.9666512  0.03334877]
 [0.9729888  0.02701127]
 [0.95355344 0.04644653]
 [0.9614977  0.03850233]
 [0.97234565 0.02765431]
 [0.95436513 0.04563488]
 [0.97367585 0.02632416]
 [0.96228856 0.03771148]
 [0.96958363 0.0304164 ]
 [0.9584365  0.04156353]
 [0.96086854 0.03913151]
 [0.97259414 0.02740585]
 [0.9640907  0.0359093 ]
 [0.9583113  0.04168866]
 [0.9562553  0.0437447 ]
 [0.9447674  0.05523257]
 [0.96391475 0.03608526]
 [0.96140206 0.03859798]
 [0.9664773  0.03352278]
 [0.9531739  0.04682615]
 [0.9532119  0.04678811]
 [0.9641637  0.03583624]
 [0.9751057  0.02489429]
 [0.9642672  0.03573277]
 [0.943988   0.05601193]
 [0.9624522  0.03754788]
 [0.962954   0.03704598]
 [0.9592635  0.04073646]
 [0.95292884 0.04707112]
 [0.9654467  0.03455327]
 [0.94720984 0.05279015]
 [0.95114756 0.04885242]
 [0.9663774  0.03362265]
 [0.97382176 0.02617822]
 [0.9508635  0.04913652]
 [0.9496537  0.05034634]
 [0.9657706  0.03422938]
 [0.97490406 0.02509592]
 [0.96393824 0.03606181]
 [0.9509617  0.04903828]
 [0.96476185 0.03523822]
 [0.9582841  0.04171591]
 [0.95224    0.04775996]
 [0.9637681  0.03623181]
 [0.96565944 0.03434063]
 [0.9738012  0.02619876]
 [0.95164996 0.04834998]
 [0.947879   0.05212098]
 [0.9603743  0.0396257 ]
 [0.96184456 0.03815541]
 [0.9609022  0.03909779]
 [0.96548927 0.03451078]
 [0.9676628  0.03233718]
 [0.96965706 0.03034299]
 [0.9618964  0.03810358]
 [0.96364814 0.03635184]
 [0.96524596 0.03475404]
 [0.96905375 0.03094624]
 [0.968809   0.03119098]
 [0.9738564  0.02614367]
 [0.95716506 0.0428349 ]
 [0.95680773 0.04319229]
 [0.95449835 0.0455016 ]
 [0.97414327 0.02585671]
 [0.96988004 0.03011993]
 [0.9585954  0.04140465]
 [0.9570695  0.04293048]
 [0.9637721  0.03622782]
 [0.93668115 0.0633189 ]
 [0.9624685  0.03753151]
 [0.97082597 0.029174  ]
 [0.9686203  0.03137975]
 [0.96483517 0.03516477]
 [0.9570883  0.04291172]
 [0.96084803 0.039152  ]
 [0.95616114 0.04383891]
 [0.9277629  0.0722371 ]
 [0.9455411  0.05445896]
 [0.8973229  0.10267713]
 [0.9324251  0.06757487]
 [0.91815686 0.08184309]
 [0.9204685  0.07953143]
 [0.93940514 0.06059483]
 [0.93441534 0.06558464]
 [0.9248247  0.07517532]
 [0.92120767 0.07879232]
 [0.8922939  0.10770611]
 [0.9333838  0.06661613]
 [0.94074225 0.0592577 ]
 [0.91481984 0.08518013]
 [0.89230675 0.10769322]
 [0.9186376  0.08136246]
 [0.95111287 0.0488872 ]
 [0.9361992  0.06380083]
 [0.9379232  0.06207681]
 [0.9311794  0.06882053]
 [0.9132204  0.08677956]
 [0.92577064 0.07422929]
 [0.93035954 0.06964052]
 [0.93395364 0.06604633]
 [0.9175078  0.08249217]
 [0.91922456 0.08077545]
 [0.9135588  0.0864412 ]
 [0.92268205 0.07731798]
 [0.9457867  0.05421329]
 [0.9438976  0.05610242]
 [0.9129331  0.08706688]
 [0.93054456 0.06945544]
 [0.9459421  0.05405786]
 [0.92767286 0.07232713]
 [0.94448936 0.05551059]
 [0.9026732  0.09732677]
 [0.9518595  0.04814054]
 [0.9197255  0.08027457]
 [0.9192017  0.08079835]
 [0.9227498  0.07725015]
 [0.93477166 0.06522841]
 [0.94572794 0.05427207]
 [0.93823344 0.06176658]
 [0.9053718  0.09462826]
 [0.94386894 0.05613105]
 [0.92039996 0.07960002]
 [0.91212785 0.08787211]
 [0.9344504  0.06554955]
 [0.95496213 0.04503786]
 [0.94274426 0.05725571]
 [0.8969845  0.10301553]
 [0.93546164 0.06453842]
 [0.93146336 0.06853669]
 [0.9399923  0.06000766]
 [0.9250031  0.07499691]
 [0.920631   0.07936899]
 [0.9363201  0.06367987]
 [0.9227483  0.07725167]
 [0.90789497 0.09210502]
 [0.8915314  0.10846863]
 [0.91874677 0.08125319]
 [0.9489821  0.05101795]
 [0.94485277 0.05514723]
 [0.93165046 0.06834948]
 [0.918255   0.08174508]
 [0.94306964 0.0569304 ]
 [0.9347152  0.06528482]
 [0.958394   0.04160595]
 [0.9185065  0.08149344]
 [0.90592456 0.09407536]
 [0.94697165 0.0530284 ]
 [0.9281033  0.07189673]
 [0.95007753 0.04992246]
 [0.93413854 0.06586151]
 [0.95648336 0.04351657]
 [0.9495203  0.0504797 ]
 [0.96032196 0.03967801]
 [0.91227317 0.0877268 ]
 [0.9141851  0.08581487]
 [0.9200516  0.07994842]
 [0.93910867 0.06089131]
 [0.94225025 0.05774976]
 [0.9319731  0.06802684]
 [0.9195698  0.08043017]
 [0.9038298  0.09617016]
 [0.90784025 0.09215973]
 [0.9110897  0.0889103 ]]
