The probability labels are:
[[1.00000000e+00 1.55848379e-09]
 [9.99999523e-01 5.21356526e-07]
 [6.65388256e-02 9.33461189e-01]
 [1.00000000e+00 3.74732255e-14]
 [9.99999881e-01 6.80623273e-08]
 [1.00000000e+00 1.00777708e-09]
 [9.69419718e-01 3.05802543e-02]
 [9.35551226e-01 6.44487813e-02]
 [9.07677054e-01 9.23229530e-02]
 [1.11993239e-03 9.98880088e-01]
 [2.02513638e-05 9.99979734e-01]
 [1.00000000e+00 3.79106468e-12]
 [9.99973893e-01 2.60784382e-05]
 [2.97573977e-03 9.97024238e-01]
 [1.00000000e+00 2.16852369e-10]
 [1.00000000e+00 2.29433944e-10]
 [9.77384210e-01 2.26157736e-02]
 [4.57811467e-02 9.54218924e-01]
 [1.00000000e+00 7.70266576e-12]
 [9.99600470e-01 3.99566983e-04]
 [9.46086586e-01 5.39134443e-02]
 [1.00000000e+00 1.35108791e-09]
 [9.99983191e-01 1.68097922e-05]
 [1.00000000e+00 2.59813171e-10]
 [9.62257087e-01 3.77428606e-02]
 [9.14031565e-01 8.59684348e-02]
 [9.99924898e-01 7.50665204e-05]
 [9.99999762e-01 2.95913537e-07]
 [9.99997020e-01 2.95731161e-06]
 [1.00000000e+00 4.61319297e-13]
 [6.90199971e-01 3.09800029e-01]
 [9.99999881e-01 8.46858725e-08]
 [1.00000000e+00 7.40131428e-11]
 [1.00000000e+00 5.36470146e-10]
 [1.00000000e+00 1.93549361e-11]
 [9.99936342e-01 6.36135446e-05]
 [3.35179985e-01 6.64820015e-01]
 [1.00000000e+00 2.40669662e-09]
 [9.99999881e-01 8.56978559e-08]
 [1.00000000e+00 4.92335195e-09]
 [8.41570914e-01 1.58429101e-01]
 [1.00000000e+00 6.07631334e-10]
 [1.00000000e+00 2.36877488e-12]
 [4.86497418e-04 9.99513507e-01]
 [3.37950468e-01 6.62049532e-01]
 [1.00000000e+00 7.37107771e-12]
 [2.31008627e-03 9.97689962e-01]
 [9.99820173e-01 1.79898445e-04]
 [9.99788582e-01 2.11394989e-04]
 [1.00000000e+00 5.32944175e-11]
 [9.99871850e-01 1.28095009e-04]
 [2.33330995e-01 7.66669035e-01]
 [9.88602340e-01 1.13977054e-02]
 [9.95948374e-01 4.05163178e-03]
 [9.98132765e-01 1.86722644e-03]
 [1.00000000e+00 1.25743348e-11]
 [9.36327100e-01 6.36729226e-02]
 [1.00000000e+00 3.46743235e-18]
 [1.00000000e+00 9.86276425e-12]
 [9.99049008e-01 9.50979535e-04]
 [9.85450745e-01 1.45492591e-02]
 [9.99865770e-01 1.34197297e-04]
 [9.77271557e-01 2.27284208e-02]
 [9.99689102e-01 3.10918025e-04]
 [5.53904772e-01 4.46095228e-01]
 [9.99998212e-01 1.79574101e-06]
 [1.00000000e+00 2.09192077e-08]
 [9.90175128e-01 9.82492324e-03]
 [1.04878598e-03 9.98951197e-01]
 [9.99861240e-01 1.38750533e-04]
 [1.00000000e+00 8.85926124e-11]
 [1.00000000e+00 1.14732984e-12]
 [8.40110362e-01 1.59889624e-01]
 [9.99956846e-01 4.31975132e-05]
 [7.75515586e-02 9.22448456e-01]
 [2.60430947e-02 9.73956883e-01]
 [9.99634266e-01 3.65667685e-04]
 [9.99999642e-01 3.07825474e-07]
 [9.99974370e-01 2.55775594e-05]
 [9.75785017e-01 2.42150351e-02]
 [8.07714105e-01 1.92285866e-01]
 [9.99742568e-01 2.57481792e-04]
 [1.00000000e+00 4.16195967e-10]
 [9.99999881e-01 9.27145010e-08]
 [9.99553859e-01 4.46061633e-04]
 [1.00000000e+00 8.60764723e-11]
 [1.00000000e+00 5.50957066e-13]
 [9.99881506e-01 1.18428303e-04]
 [1.00000000e+00 1.06573483e-09]
 [5.96167054e-03 9.94038343e-01]
 [1.00000000e+00 9.32882174e-11]
 [9.99983311e-01 1.67280905e-05]
 [9.18578327e-01 8.14216211e-02]
 [9.32256520e-01 6.77434653e-02]
 [1.00000000e+00 5.47621370e-09]
 [9.99996662e-01 3.33415778e-06]
 [7.63986409e-02 9.23601389e-01]
 [9.99997616e-01 2.40977670e-06]
 [1.00000000e+00 2.90140936e-12]
 [4.44126986e-02 9.55587327e-01]
 [6.83654010e-01 3.16345990e-01]
 [1.00000000e+00 1.30652425e-11]
 [1.00000000e+00 1.68316190e-18]
 [9.99906898e-01 9.31369650e-05]
 [9.99991059e-01 8.90283900e-06]
 [1.00000000e+00 1.37419147e-11]
 [9.99997735e-01 2.31220133e-06]
 [1.00000000e+00 2.07781778e-10]
 [1.00000000e+00 4.35034439e-11]
 [9.99999404e-01 5.67541520e-07]
 [1.00000000e+00 1.85848736e-14]
 [9.91383433e-01 8.61649308e-03]
 [5.61880529e-01 4.38119411e-01]
 [9.95097339e-01 4.90260823e-03]
 [9.99791086e-01 2.08878482e-04]
 [1.00000000e+00 3.41711779e-16]
 [1.00000000e+00 1.71025541e-10]
 [9.99999881e-01 9.78410810e-08]
 [9.98870552e-01 1.12940627e-03]
 [1.00000000e+00 2.90615310e-14]
 [9.99999881e-01 6.31149462e-08]
 [1.00000000e+00 9.33719294e-21]
 [9.99878526e-01 1.21418292e-04]
 [9.99304533e-01 6.95514143e-04]
 [1.00000000e+00 1.75439063e-09]
 [9.99985695e-01 1.43553589e-05]
 [1.00000000e+00 6.47974785e-10]
 [1.00000000e+00 1.24838484e-09]
 [1.00000000e+00 1.59219343e-19]
 [9.99999642e-01 3.53328801e-07]
 [3.96610983e-02 9.60338891e-01]
 [1.61906525e-01 8.38093460e-01]
 [9.97829497e-01 2.17048964e-03]
 [1.00000000e+00 6.03898620e-09]
 [9.99999762e-01 2.68683323e-07]
 [9.99891520e-01 1.08502827e-04]
 [1.00000000e+00 8.46131585e-17]
 [6.39385343e-01 3.60614687e-01]
 [9.99894023e-01 1.05984363e-04]
 [9.99989629e-01 1.03343373e-05]
 [9.98862624e-01 1.13738829e-03]]
