The probability labels are:
[[1.00000000e+00 8.70250649e-10]
 [9.99999881e-01 8.97561137e-08]
 [1.00000000e+00 7.31255112e-10]
 [1.00000000e+00 3.04653573e-13]
 [1.00000000e+00 3.24923732e-09]
 [9.99790490e-01 2.09574340e-04]
 [1.00000000e+00 3.16306321e-11]
 [9.99981880e-01 1.81241485e-05]
 [1.00000000e+00 2.06519087e-13]
 [4.27025458e-04 9.99572933e-01]
 [9.99988794e-01 1.11951931e-05]
 [1.00000000e+00 1.65314500e-08]
 [1.00000000e+00 1.59505875e-09]
 [1.00000000e+00 1.62337566e-09]
 [1.03420938e-09 1.00000000e+00]
 [1.00000000e+00 1.10204969e-15]
 [1.00000000e+00 5.15042287e-10]
 [9.94493246e-01 5.50673436e-03]
 [9.98838365e-01 1.16163283e-03]
 [9.99999285e-01 7.25239204e-07]
 [9.99088645e-01 9.11390700e-04]
 [2.34273957e-05 9.99976516e-01]
 [8.81059885e-01 1.18940078e-01]
 [1.00000000e+00 1.23052073e-19]
 [3.71722202e-03 9.96282756e-01]
 [2.41552140e-13 1.00000000e+00]
 [9.99997497e-01 2.48069091e-06]
 [1.00000000e+00 3.53526853e-14]
 [9.99999762e-01 2.26431482e-07]
 [5.67082882e-01 4.32917118e-01]
 [1.00000000e+00 9.88401694e-10]
 [6.81874037e-01 3.18125933e-01]
 [1.00000000e+00 4.88518985e-08]
 [1.00000000e+00 1.24636310e-08]
 [1.00000000e+00 7.02441855e-11]
 [1.00000000e+00 1.18323483e-13]
 [1.00000000e+00 4.93836474e-08]
 [1.20965602e-08 1.00000000e+00]
 [3.61741922e-06 9.99996424e-01]
 [1.00000000e+00 2.64213518e-09]
 [1.00000000e+00 6.00267580e-16]
 [1.00000000e+00 4.98370746e-12]
 [9.99929786e-01 7.02140169e-05]
 [3.08650727e-09 1.00000000e+00]
 [9.99101758e-01 8.98210157e-04]
 [1.00000000e+00 1.63746759e-11]
 [1.00000000e+00 1.65127927e-12]
 [9.99958754e-01 4.12612790e-05]
 [1.06816424e-06 9.99998927e-01]
 [1.00000000e+00 2.73387020e-15]
 [1.00000000e+00 1.97625180e-11]
 [9.99999881e-01 1.50935477e-07]
 [5.11551499e-01 4.88448441e-01]
 [1.00000000e+00 1.74037187e-10]
 [1.00000000e+00 5.92733987e-11]
 [1.67328457e-03 9.98326719e-01]
 [4.08284541e-06 9.99995947e-01]
 [9.99990463e-01 9.49344485e-06]
 [5.81391692e-01 4.18608308e-01]
 [1.00000000e+00 5.94033225e-11]
 [1.00000000e+00 3.81405663e-08]
 [1.00000000e+00 3.00243296e-14]
 [3.81236023e-05 9.99961853e-01]
 [9.99997020e-01 3.02549984e-06]
 [2.96637410e-07 9.99999762e-01]
 [9.98914838e-01 1.08518114e-03]]
