The probability labels are:
[[1.00000000e+00 1.93475458e-08]
 [9.99695659e-01 3.04363057e-04]
 [9.89994586e-01 1.00054769e-02]
 [1.00000000e+00 1.58369433e-12]
 [9.99994040e-01 5.99510668e-06]
 [2.60349452e-01 7.39650488e-01]
 [9.78411853e-01 2.15880927e-02]
 [2.66668964e-02 9.73333120e-01]
 [9.99814570e-01 1.85508194e-04]
 [1.00000000e+00 4.59898152e-19]
 [2.82788975e-03 9.97172177e-01]
 [9.99999166e-01 8.83617759e-07]
 [9.99518156e-01 4.81794996e-04]
 [9.96049464e-01 3.95057816e-03]
 [9.99988198e-01 1.18033149e-05]
 [1.91606872e-03 9.98083949e-01]
 [2.15212524e-01 7.84787476e-01]
 [1.00000000e+00 1.40547445e-13]
 [2.73045808e-01 7.26954222e-01]
 [1.00000000e+00 3.39318995e-09]
 [1.00000000e+00 6.87003709e-12]
 [7.45712638e-01 2.54287392e-01]
 [7.69436767e-04 9.99230623e-01]
 [1.00000000e+00 1.28359652e-08]
 [1.00000000e+00 8.18307977e-10]
 [1.00000000e+00 8.40553668e-12]
 [9.99992371e-01 7.59818249e-06]
 [1.00000000e+00 2.06601070e-09]
 [1.47454754e-01 8.52545261e-01]
 [9.99993682e-01 6.30604700e-06]
 [9.99999762e-01 1.95589706e-07]
 [1.00000000e+00 8.13199809e-14]
 [9.99987721e-01 1.23023265e-05]
 [9.95364785e-01 4.63521527e-03]
 [9.99898791e-01 1.01167359e-04]
 [1.00000000e+00 1.05892258e-13]
 [1.00000000e+00 5.42182654e-09]
 [1.00000000e+00 1.29065760e-11]
 [9.85703051e-01 1.42969247e-02]
 [9.99609768e-01 3.90274683e-04]
 [1.00000000e+00 3.47085533e-13]
 [1.00000000e+00 6.79095960e-15]
 [9.99996305e-01 3.75118543e-06]
 [4.61908951e-02 9.53809083e-01]
 [1.00000000e+00 6.89681556e-17]
 [1.00000000e+00 1.40297982e-11]
 [1.00000000e+00 6.06060702e-10]
 [9.55420792e-01 4.45791706e-02]
 [6.97827339e-01 3.02172691e-01]
 [6.03455842e-01 3.96544218e-01]
 [8.07791832e-04 9.99192178e-01]
 [1.36640280e-01 8.63359690e-01]
 [1.00000000e+00 1.73296338e-12]
 [9.99986649e-01 1.32969890e-05]
 [1.56107936e-02 9.84389126e-01]
 [1.00000000e+00 2.78573144e-13]
 [1.00000000e+00 1.10955031e-14]
 [9.34308112e-01 6.56918958e-02]
 [7.21583096e-03 9.92784142e-01]
 [1.00000000e+00 6.92894906e-13]
 [9.99642134e-01 3.57840501e-04]
 [9.96849477e-01 3.15054948e-03]
 [1.00000000e+00 1.36470151e-08]
 [1.00000000e+00 2.29464376e-08]
 [1.00000000e+00 4.41411621e-12]
 [9.95973527e-01 4.02646093e-03]
 [9.54491556e-01 4.55085225e-02]
 [9.99985337e-01 1.46537132e-05]
 [1.00000000e+00 1.84339370e-08]
 [1.00000000e+00 9.62438573e-10]
 [1.00000000e+00 1.82087592e-11]
 [9.70054686e-01 2.99453400e-02]
 [9.99997973e-01 2.01420880e-06]
 [1.00000000e+00 3.56869800e-09]
 [1.00000000e+00 2.25521533e-12]
 [1.00000000e+00 4.36712732e-12]
 [9.52565849e-01 4.74342145e-02]
 [9.65183198e-01 3.48168463e-02]
 [1.00000000e+00 1.31329125e-13]
 [1.00000000e+00 7.40646211e-09]
 [1.00000000e+00 1.50437468e-10]
 [8.92708123e-01 1.07291833e-01]
 [1.00000000e+00 3.13076509e-11]
 [1.00000000e+00 5.51296846e-16]
 [4.61308658e-02 9.53869104e-01]
 [6.31165981e-01 3.68834019e-01]
 [1.00000000e+00 2.10225907e-13]
 [2.68710079e-03 9.97312844e-01]
 [9.99999642e-01 3.21011072e-07]
 [9.99999523e-01 4.19548627e-07]
 [1.00000000e+00 5.57604206e-11]
 [9.70364809e-01 2.96351239e-02]
 [9.69649136e-01 3.03509030e-02]
 [9.99099374e-01 9.00618208e-04]
 [7.06221163e-01 2.93778807e-01]
 [9.99835849e-01 1.64129277e-04]
 [1.00000000e+00 9.82022883e-12]
 [9.83550120e-03 9.90164459e-01]
 [1.00000000e+00 8.17747376e-15]
 [9.99645710e-01 3.54228920e-04]
 [9.63594794e-01 3.64052765e-02]
 [9.67092097e-01 3.29079479e-02]
 [1.08137630e-01 8.91862392e-01]
 [9.27760363e-01 7.22396523e-02]
 [9.94417310e-01 5.58272004e-03]
 [3.01487327e-01 6.98512673e-01]
 [1.00000000e+00 2.51936427e-09]
 [1.00000000e+00 6.86167922e-09]
 [9.96661544e-01 3.33849643e-03]
 [1.13949224e-01 8.86050820e-01]
 [9.98272181e-01 1.72784273e-03]
 [1.00000000e+00 6.92379232e-14]
 [1.00000000e+00 1.38216757e-10]
 [9.97913301e-01 2.08668993e-03]
 [9.99230981e-01 7.68991711e-04]
 [2.07446516e-01 7.92553484e-01]
 [9.99575913e-01 4.24048805e-04]
 [9.90511000e-01 9.48894769e-03]
 [1.00000000e+00 4.55985694e-09]
 [1.00000000e+00 5.86549864e-10]
 [9.99855399e-01 1.44601130e-04]
 [9.98854876e-01 1.14510255e-03]
 [9.98376608e-01 1.62334333e-03]
 [9.99975920e-01 2.40868012e-05]
 [1.00000000e+00 6.27550178e-10]
 [9.95090485e-01 4.90947627e-03]
 [9.99991298e-01 8.65474249e-06]
 [1.00000000e+00 4.25753356e-12]
 [9.99546111e-01 4.53899935e-04]
 [1.00000000e+00 4.34922285e-08]
 [1.73559070e-01 8.26440990e-01]
 [1.00000000e+00 4.78252522e-14]
 [9.99999881e-01 8.35576017e-08]
 [9.89928067e-01 1.00719472e-02]
 [9.97676909e-01 2.32312386e-03]
 [9.99995470e-01 4.51763208e-06]
 [9.93324578e-01 6.67546364e-03]
 [1.41939357e-01 8.58060658e-01]
 [5.52614808e-01 4.47385132e-01]
 [1.00000000e+00 1.27894699e-14]
 [6.91681743e-01 3.08318228e-01]
 [8.41072667e-03 9.91589248e-01]
 [1.00000000e+00 1.84539095e-09]
 [1.00000000e+00 1.91482279e-20]
 [5.61914563e-01 4.38085467e-01]
 [8.92375410e-01 1.07624650e-01]
 [9.99993443e-01 6.56936800e-06]
 [9.99803722e-01 1.96345281e-04]
 [1.00000000e+00 1.81545854e-08]
 [9.99999881e-01 1.46109599e-07]
 [9.99999404e-01 5.99513669e-07]
 [1.00000000e+00 6.91669148e-14]
 [9.99997258e-01 2.78906714e-06]
 [1.70503840e-01 8.29496145e-01]
 [9.62764978e-01 3.72349806e-02]
 [9.99953866e-01 4.61342133e-05]
 [1.00000000e+00 2.36275775e-14]
 [1.00000000e+00 1.03150943e-11]
 [9.99996901e-01 3.09894313e-06]
 [9.99245167e-01 7.54814129e-04]
 [1.00000000e+00 6.53115451e-10]
 [1.00000000e+00 2.95166114e-09]
 [1.00000000e+00 1.18186946e-18]
 [8.81337225e-01 1.18662752e-01]
 [9.99907494e-01 9.25228887e-05]
 [1.00000000e+00 1.66410248e-13]
 [9.99999285e-01 7.53857648e-07]
 [1.00000000e+00 6.52702632e-12]
 [9.99901295e-01 9.87111271e-05]
 [1.00000000e+00 1.72496142e-14]
 [9.99971032e-01 2.89169784e-05]
 [9.81211424e-01 1.87885612e-02]
 [8.40402424e-01 1.59597605e-01]
 [9.99982595e-01 1.74100660e-05]
 [8.56587470e-01 1.43412545e-01]
 [1.00000000e+00 1.77385240e-09]
 [9.99998569e-01 1.39447343e-06]
 [1.00000000e+00 1.19791343e-13]
 [4.88856107e-01 5.11143923e-01]
 [8.19003582e-01 1.80996403e-01]
 [9.99960899e-01 3.90923851e-05]
 [8.48831415e-01 1.51168585e-01]]
